행정구역(동읍면)별,항목,2012.07,2012.07,2012.07,2012.07,2012.07,2012.07,2012.07,2012.07,2012.07,2012.07,2012.07,2012.07
행정구역(동읍면)별,항목,20 - 24세,25 - 29세,30 - 34세,35 - 39세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+
강경읍,남자인구수 (명),327,291,292,349,291,246,210,97,42,17,2,4
강경읍,여자인구수 (명),275,236,276,334,323,352,306,195,103,26,4,6
연무읍,남자인구수 (명),496,541,565,547,382,377,306,166,61,17,4,0
연무읍,여자인구수 (명),367,370,470,467,460,567,496,312,119,36,9,5
성동면,남자인구수 (명),164,142,136,142,173,189,172,71,21,9,0,1
성동면,여자인구수 (명),125,108,80,80,218,268,232,107,56,23,3,2
광석면,남자인구수 (명),177,135,141,158,192,171,145,76,27,7,2,0
광석면,여자인구수 (명),115,108,80,81,202,257,240,115,49,12,2,0
노성면,남자인구수 (명),103,128,119,130,126,114,111,48,21,5,1,1
노성면,여자인구수 (명),84,88,80,100,129,166,184,93,49,13,5,3
상월면,남자인구수 (명),101,104,99,130,133,142,126,63,29,11,1,0
상월면,여자인구수 (명),82,79,62,99,147,196,196,105,48,26,8,4
부적면,남자인구수 (명),128,107,97,121,128,148,108,61,21,7,0,0
부적면,여자인구수 (명),106,92,62,74,152,205,167,108,57,16,2,3
연산면,남자인구수 (명),203,178,157,206,254,214,183,85,34,9,3,0
연산면,여자인구수 (명),153,132,123,118,252,321,227,171,72,31,8,4
벌곡면,남자인구수 (명),62,68,65,81,104,128,72,48,17,6,3,1
벌곡면,여자인구수 (명),50,43,58,52,117,144,106,86,42,21,3,5
양촌면,남자인구수 (명),146,164,143,165,196,262,190,101,40,4,1,1
양촌면,여자인구수 (명),123,114,103,108,254,332,283,168,71,21,8,1
가야곡면,남자인구수 (명),119,114,100,114,175,169,125,62,17,13,1,1
가야곡면,여자인구수 (명),91,79,60,81,166,238,200,100,57,17,1,2
은진면,남자인구수 (명),316,154,147,141,131,115,119,51,18,3,1,0
은진면,여자인구수 (명),415,127,72,74,140,203,179,104,56,18,5,3
채운면,남자인구수 (명),89,95,64,69,77,102,82,52,20,6,2,0
채운면,여자인구수 (명),64,71,64,52,100,145,134,87,26,10,5,1
취암동,남자인구수 (명),1010,944,1066,1218,430,376,273,110,50,15,7,1
취암동,여자인구수 (명),875,829,1111,1238,539,535,433,253,102,39,5,5
부창동,남자인구수 (명),592,525,645,767,292,258,172,83,39,10,2,2
부창동,여자인구수 (명),488,479,640,797,354,388,291,175,82,26,7,2
