행정구역(동읍면)별,항목,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12,2022.12
행정구역(동읍면)별,항목,20 - 24세,25 - 29세,30 - 34세,35 - 39세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+
강경읍,남자인구수 (명),188,141,113,125,402,283,224,161,82,23,0,2
강경읍,여자인구수 (명),125,122,88,131,435,348,283,276,162,69,13,2
연무읍,남자인구수 (명),314,358,348,314,616,412,285,239,125,34,4,1
연무읍,여자인구수 (명),223,214,278,279,564,489,391,432,306,131,22,3
성동면,남자인구수 (명),62,72,74,62,259,155,138,123,80,20,2,1
성동면,여자인구수 (명),44,41,47,39,237,191,189,211,160,39,10,0
광석면,남자인구수 (명),74,69,68,58,232,194,139,96,51,12,2,0
광석면,여자인구수 (명),63,50,48,57,213,194,165,197,151,37,5,1
노성면,남자인구수 (명),43,64,39,52,153,135,96,70,51,12,1,0
노성면,여자인구수 (명),26,43,40,32,162,137,111,129,118,40,10,4
상월면,남자인구수 (명),47,59,43,38,216,154,101,98,41,18,4,0
상월면,여자인구수 (명),26,50,39,50,197,151,115,156,117,39,11,2
부적면,남자인구수 (명),51,63,53,57,211,149,106,91,50,15,3,0
부적면,여자인구수 (명),47,39,39,50,191,161,129,148,112,51,11,2
연산면,남자인구수 (명),98,89,95,81,380,252,198,143,82,22,3,0
연산면,여자인구수 (명),53,64,62,75,335,237,230,252,156,69,15,4
벌곡면,남자인구수 (명),37,21,38,28,169,125,83,65,35,12,1,0
벌곡면,여자인구수 (명),16,26,15,24,151,106,104,121,75,37,8,0
양촌면,남자인구수 (명),111,102,168,133,325,223,155,163,73,27,5,0
양촌면,여자인구수 (명),68,64,151,115,274,231,212,247,164,59,12,1
가야곡면,남자인구수 (명),49,65,48,43,237,143,127,106,50,14,4,1
가야곡면,여자인구수 (명),39,40,23,27,198,153,131,179,123,42,10,1
은진면,남자인구수 (명),144,104,92,77,216,154,98,80,42,15,1,0
은진면,여자인구수 (명),85,63,41,39,197,154,125,163,117,58,11,3
채운면,남자인구수 (명),33,33,22,34,148,92,57,57,26,14,4,0
채운면,여자인구수 (명),23,28,21,31,147,93,90,116,70,33,6,0
취암동,남자인구수 (명),1144,1276,1163,1111,916,594,377,259,132,42,10,3
취암동,여자인구수 (명),1039,1038,945,1105,958,717,497,479,290,107,26,4
부창동,남자인구수 (명),502,347,310,372,480,333,217,172,93,10,2,0
부창동,여자인구수 (명),386,320,320,384,586,442,339,319,175,70,18,0
